's anderendaags	's  anderendaags
naar de barrebiesjes	na-ar de barrebiesjes	naar den barrebiesjes	naar dij barrebiesjes
naar den vleze	naar de vleze	na-ar den vleze	naar den vlezen	naar dijn vleze	naar deden vleze
naar hartenlust	naar hartenlijst
nasi goreng	
nasi rames	
native speaker	
nek aan nek	nenk aan nek	nijk aan nek	nequ aan nek	necc aan nek	naik aan nek	nec aan nek
new age	
new wave	
niet-gouvernementele organisatie	
no cure	
no pay	
noblesse oblige	
nogal wiedes	
nolens volens	
nom de guerre	nom den guerre	nom dij guerre	neaum de guerre
nom de plume	nom den plume	nom dij plume	neaum de plume
nooit ofte nimmer	nooith ofte nimmer	noo-it ofte nimmer	no-oit ofte nimmer	nooid ofte nimmer	neauit ofte nimmer	neauoit ofte nimmer	noeauit ofte nimmer
not amused	
nota bene	nota benen
nouveaux riches	
numerus clausus	
numerus fixus	
o jee	eau jee
of all people	eauf all people
of all places	eauf all places
of zo	
old boys network	olld boys network	oldd boys network	eauld boys network
olie voor voedsel	oli-e voor voedsel	olien voor voedsel	ollie voor voedsel	oliij voor voedsel	oly voor voedsel	oly' voor voedsel	olie voort voedsel	oliai voor voedsel	eaulie voor voedsel	oli voor voedsel
om den brode	om de brode	om den broden	om dijn brode	om deden brode	eaum den brode
om en om	om e om	eaum en om
on speaking terms	ont speaking terms	eaun speaking terms
on the rocks	
onder ede	onder ende	onder eden	onder te
onder meer	
ongelovige thomas	ongelovigen thomas
onov. ww.	
onverrichter zake	onverrichter zaken
onzes inziens	
oorlog voeren	oorlogvoeren
op ad-hocbasis	op at-hocbasis	ophad-hocbasis
op de bonnefooi	op den bonnefooi	op dij bonnefooi	eaup de bonnefooi
op de pof	op den pof	op dij pof	eaup de pof
op ooghoogte	ophooghoogte
op uitleenbasis	
op zichzelf	
open source	
openbaar maken	openbaar make
oral history	
oratio pro domo	orathio pro domo	oradio pro domo	eauratio pro domo	oratieau pro domo
ouder gewoonte	ouder gewoonten
out of the blue	
over the counter	
overboord gooien	
pain à la grecque	pen à la grecque	pa-in à la grecque
panna cotta	
par excellence	
pars pro toto	parss pro toto	parsch pro toto
partij kiezen	partij kiezen
pas de deux	pass de deux	pas den deux	pas dij deux	pasch de deux
pas op de plaats	pass op de plaats	pas op den plaats	pas op dij plaats	pasch op de plaats	pas eaup de plaats
paso doble	
patates frites	
patati patata	
pater familias	
patience spelen	patience spellen	patience spijlen	patience spellingen
peau de pêche	pea-u de pêche	penau de pêche	peau den pêche	peaoe de pêche	pijau de pêche	peau dij pêche	peaij de pêche	paiau de pêche
per capita	pair capita
per se	pair se	perse
perpetuum mobile	
persona non grata	personta non grata	perssona non grata	penrsona non grata	përssona non grata	pijrsona non grata	perschona non grata	pairsona non grata	perseauna non grata
personal computer	
petit restaurant	
pico bello	
pisang goreng	
pièce de résistance	piècen de résistance	pièce den résistance	pièke de résistance	pièsse de résistance	piècij de résistance	pièce dij résistance	piècai de résistance
plaats delict	plaats-delict
plan de campagne	plan den campagne	pllan de campagne	plan dij campagne
plat du jour	plath du jour	plat doe jour	pllat du jour	plad du jour	plat dij jour
poste restante	postte restante	posten restante	poste restanten
posttraumatisch stresssyndroom	
premie A-woning	premie-A-woning
prima donna	
primus inter pares	primuss inter pares	primoes inter pares	primijs inter pares	primusch inter pares
pro Deo	
pro bono	
pro forma	
pro memorie	pro memory
pseudologia fantastica	
public relations	
pur sang	poer sang
qualitate qua	qualitate ka
qui pro quo	qu-i pro quo	qoei pro quo	qiji pro quo	qeu pro quo	ki pro quo	kwi pro quo
recht voor z'n raap	rechth voor z'n raap	recht voir z'n raap	recht vo-or z'n raap	rencht voor z'n raap	rechts voor z'n raap	rekht voor z'n raap	ressht voor z'n raap	rijcht voor z'n raap	rechd voor z'n raap	regt voor z'n raap	recht voort z'n raap	regd voor z'n raap	recht veaur z'n raap	raicht voor z'n raap	recht veauor z'n raap
rechttoe rechtaan	
rector magnificus	
reductio ad absurdum	reducthio ad absurdum	renductio ad absurdum	redoectio ad absurdum	redductio ad absurdum	reduktio ad absurdum	redusstio ad absurdum	rijductio ad absurdum	reducdio ad absurdum	redijctio ad absurdum	rtuctio ad absurdum	raiductio ad absurdum	reductieau ad absurdum
remedial teacher	
remedial teaching	
remote sensing	
rigor mortis	
roaring twenties	
roestvrij staal	roestvrij staal
rond krijgen	rond krijgen
ruim bemeten	
running gag	
running mate	running matte	running maten	running made
salade niçoise	
salam aleikum	
salto mortale	saldo mortale
second opinion	
selffulfilling prophecy	
senior partner	
septic tank	septic dank
shish kebab	
short story	
sinds mensenheugenis	
slecht verlicht	slecht verligt
slow motion	
sociaal geneeskundige	sociaal geneeskundigen
sociaal geograaf	
sociaal psycholoog	sociaalpsychologisch
sociaal verpleegkundige	sociaal verpleegkundigen
socialistisch realisme	socialistisch-realistisch
sotto voce	
spic en span	spic e span	sspic en span	spik en span	spiss en span	schpic en span
spina bifida	
stage lopen	stagen lopen	staag lopen
stante pede	stante pende
stap voor stap	sthap voor stap	sstap voor stap	sdap voor stap	schtap voor stap	stap voort stap
state of the art	
stenen gooien	steen gooien
stille willie	stillen willie
stroomaf- en stroomopwaarts	stroomaf- e stroomopwaarts	sthroomaf- en stroomopwaarts	stro-omaf- en stroomopwaarts	sstroomaf- en stroomopwaarts	sdroomaf- en stroomopwaarts	schtroomaf- en stroomopwaarts	streaumaf- en stroomopwaarts	streauomaf- en stroomopwaarts	stroeaumaf- en stroomopwaarts
stroomop- en stroomafwaarts	stroomop- e stroomafwaarts	sthroomop- en stroomafwaarts	stro-omop- en stroomafwaarts	sstroomop- en stroomafwaarts	sdroomop- en stroomafwaarts	schtroomop- en stroomafwaarts	streaumop- en stroomafwaarts	streauomop- en stroomafwaarts	stroeaumop- en stroomafwaarts	stroomeaup- en stroomafwaarts
studium generale	
stuk voor stuk	sthuk voor stuk	sstuk voor stuk	stoek voor stuk	sduk voor stuk	stijk voor stuk	schtuk voor stuk	stuk voort stuk	stuqu voor stuk	stucc voor stuk	stuc voor stuk	stuk voor stuc
sub rosa	schub rosa
sudden death	schudden death
sui generis	sui generisch
syndroom van Asperger	syndroeaum Van asperger	syndreauom Van asperger	syndreaum Van asperger	schyndroom Van asperger	sijndroom Van asperger	synddroom Van asperger	ssyndroom Van asperger	syndro-om Van asperger
tabula rasa	
tai chi	te chi	tai-chi
te berde brengen	the berde brengen	te  berde brengen	tte berde brengen	ten berde brengen	tij berde brengen	de berde brengen	tai berde brengen
te bestemder plaatse	the bestemder plaatse	te  bestemder plaatse	tte bestemder plaatse	ten bestemder plaatse	te bestemder plaatsen	tij bestemder plaatse	de bestemder plaatse	tai bestemder plaatse
te bestemder tijd	the bestemder tijd	te  bestemder tijd	tte bestemder tijd	ten bestemder tijd	te bestemder tijd	tij bestemder tijd	de bestemder tijd	tai bestemder tijd
te eigen bate	the eigen bate	te  eigen bate	tte eigen bate	te eigen batte	ten eigen bate	te enigen bate	te eigen baten	tij eigen bate	de eigen bate	tai eigen bate
te elfder ure	the elfder ure	te  elfder ure	tte elfder ure	ten elfder ure	te elfder uren	tij elfder ure	de elfder ure	tai elfder ure
te eniger tijd	the eniger tijd	te  eniger tijd	tte eniger tijd	ten eniger tijd	te eniger tijd	tij eniger tijd	de eniger tijd	tai eniger tijd
te gelde maken	te gelde make	the gelde maken	te  gelde maken	tte gelde maken	ten gelde maken	te gelden maken	tij gelde maken	de gelde maken	tai gelde maken
te gelegener tijd	the gelegener tijd	te  gelegener tijd	tte gelegener tijd	ten gelegener tijd	te gelegener tijd	tij gelegener tijd	de gelegener tijd	tai gelegener tijd
te harent	te  harent	ten harent	tij harent	de harent	te harend	tai harent
te hunnent	te  hunnent	ten hunnent	tij hunnent	de hunnent	tai hunnent
te midden	te  midden	ten midden	tij midden	de midden	tai midden
te midden van	the midden van	te  midden van	tte midden van	ten midden van	tij midden van	de midden van	tai midden van
te mijnent	te  mijnent	ten mijnent	te mijnent	tij mijnent	de mijnent	te mijnend	tai mijnent
te moede	te  moede	ten moede	tij moede	de moede	tai moede
te onzen voordele	te onze voordele	the onzen voordele	te  onzen voordele	tte onzen voordele	ten onzen voordele	te onzen voordelen	tij onzen voordele	de onzen voordele	tai onzen voordele
te onzent	te  onzent	ten onzent	tij onzent	de onzent	tai onzent
te pas en te onpas	te pas e te onpas	the pas en te onpas	te  pas en te onpas	tte pas en te onpas	te pass en te onpas	ten pas en te onpas	te pas enn te onpas	te pas en ten onpas	tij pas en te onpas	te pas ijn te onpas	te pas en tij onpas	de pas en te onpas	te pas en de onpas
te stade	te  stade	ten stade	te staden	tij stade	de stade	tai stade
te werk gaan	the werk gaan	te  werk gaan	tte werk gaan	ten werk gaan	tij werk gaan	de werk gaan	tai werk gaan
tempo doeloe	
ten aanschouwen van	te aanschouwen van	then aanschouwen van	te n aanschouwen van	tten aanschouwen van	tenn aanschouwen van	tijn aanschouwen van	den aanschouwen van	tain aanschouwen van	than aanschouwen van
ten algemenen nutte	te algemenen nutte	ten algemeen nutte	ten algemene nutte	then algemenen nutte	te n algemenen nutte	tten algemenen nutte	tenn algemenen nutte	ten algemenen nutten	tijn algemenen nutte	den algemenen nutte	tain algemenen nutte	than algemenen nutte
ten anderen male	te anderen male	ten andere male	then anderen male	te n anderen male	tten anderen male	tenn anderen male	ten anderen malen	ten anderen malle	tijn anderen male	den anderen male	tain anderen male	than anderen male
ten bate van	te bate van	then bate van	te n bate van	tten bate van	ten batte van	tenn bate van	ten baten van	tijn bate van	den bate van	tain bate van	than bate van
ten bedrage van	te bedrage van	then bedrage van	te n bedrage van	tten bedrage van	tenn bedrage van	ten bedragen van	tijn bedrage van	ten bijdrage van	den bedrage van	ten bedraag van	tain bedrage van	than bedrage van
ten behoeve van	te behoeve van	then behoeve van	te n behoeve van	tten behoeve van	tenn behoeve van	ten behoeven van	tijn behoeve van	den behoeve van	tain behoeve van	than behoeve van
ten belope van	te belope van	then belope van	te n belope van	tten belope van	tenn belope van	ten belopen van	tijn belope van	den belope van	tain belope van	than belope van
ten besluite	te besluite	te n besluite	ten besluiten	den besluite
ten bewijze	te bewijze	te n bewijze	ten bewijzen	ten bewijze	den bewijze
ten bewijze van	te bewijze van	then bewijze van	te n bewijze van	tten bewijze van	tenn bewijze van	ten bewijzen van	ten bewijze van	tijn bewijze van	den bewijze van	tain bewijze van	than bewijze van
ten burele	te burele	te n burele	ten burelen	den burele
ten dele	te dele	te n dele	ten delen	den dele
ten derden male	te derden male	ten derde male	then derden male	te n derden male	tten derden male	tenn derden male	ten derden malen	ten derden malle	ten  derden male	tijn derden male	den derden male	tain derden male	than derden male
ten dienste	te dienste	te n dienste	ten diensten	den dienste
ten enenmale	te enenmale	te n enenmale	den enenmale
ten faveure van	te faveure van	then faveure van	te n faveure van	tten faveure van	tenn faveure van	tijn faveure van	den faveure van	tain faveure van	than faveure van
ten gehore	te gehore	te n gehore	ten gehoren	den gehore
ten gemeentehuize	te gemeentehuize	te n gemeentehuize	ten gemeentehuizen	den gemeentehuize
ten geschenke	te geschenke	te n geschenke	ten geschenken	den geschenke
ten geschenke geven	te geschenke geven	ten geschenke geve	then geschenke geven	te n geschenke geven	tten geschenke geven	tenn geschenke geven	ten geschenken geven	tijn geschenke geven	den geschenke geven	tain geschenke geven	than geschenke geven
ten gevolge van	te gevolge van	then gevolge van	te n gevolge van	tten gevolge van	tenn gevolge van	ten gevolgen van	tijn gevolge van	den gevolge van	tain gevolge van	than gevolge van
ten grave dragen	te grave dragen	then grave dragen	te n grave dragen	tten grave dragen	tenn grave dragen	ten graven dragen	tijn grave dragen	den grave dragen	tain grave dragen	than grave dragen
ten huize van	te huize van	then huize van	te n huize van	tten huize van	tenn huize van	ten huizen van	tijn huize van	den huize van	tain huize van	than huize van
ten kantore	te kantore	te n kantore	ten kantoren	den kantore
ten laste gelegde	te laste gelegde	then laste gelegde	te n laste gelegde	tten laste gelegde	ten lastte gelegde	tenn laste gelegde	ten lasten gelegde	ten laste gelengde	ten laste gelegden	tijn laste gelegde	den laste gelegde	tain laste gelegde	than laste gelegde
ten laste leggen	te laste leggen	then laste leggen	te n laste leggen	tten laste leggen	ten lastte leggen	tenn laste leggen	ten lasten leggen	tijn laste leggen	den laste leggen	tain laste leggen	than laste leggen
ten onrechte	te onrechte	te n onrechte	den onrechte
ten overstaan van	te overstaan van	then overstaan van	te n overstaan van	tten overstaan van	tenn overstaan van	tijn overstaan van	den overstaan van	tain overstaan van	than overstaan van
ten overvloede	te overvloede	te n overvloede	ten overvloeden	den overvloede
ten paleize	te paleize	te n paleize	ten paleizen	den paleize
ten stadhuize	te stadhuize	te n stadhuize	ten stadhuizen	den stadhuize
ten tonele	te tonele	te n tonele	ten tonelen	den tonele
ten vervolge op	te vervolge op	then vervolge op	te n vervolge op	tten vervolge op	tenn vervolge op	ten vervolgen op	tijn vervolge op	den vervolge op	tain vervolge op	than vervolge op
ten vierden male	te vierden male	ten vierde male	then vierden male	te n vierden male	tten vierden male	tenn vierden male	ten vierden malen	ten vierden malle	tijn vierden male	den vierden male	tain vierden male	than vierden male
ten voordele van	te voordele van	then voordele van	te n voordele van	tten voordele van	tenn voordele van	ten voordelen van	tijn voordele van	den voordele van	tain voordele van	than voordele van
ter beurze	te r beurze	ter  beurze	ter beurzen	der beurze
ter eenre zijde	ther eenre zijde	te r eenre zijde	ter  eenre zijde	tter eenre zijde	tenr eenre zijde	ter eenre zijden	tërs eenre zijde	ter eenre zijde	tijr eenre zijde	der eenre zijde	tair eenre zijde
ter kerke	te r kerke	ter  kerke	ter kerken	der kerke
ter kerke gaan	ther kerke gaan	te r kerke gaan	ter  kerke gaan	tter kerke gaan	tenr kerke gaan	ter kerken gaan	tërs kerke gaan	tijr kerke gaan	der kerke gaan	tair kerke gaan
ter ore	te r ore	ter  ore	ter oren	der ore
ter perse	te r perse	ter  perse	ter persen	der perse
ter plaatse	te r plaatse	ter  plaatse	ter plaatsen	der plaatse
ter plekke	te r plekke	ter  plekke	ter plekken	der plekke
ter stede	te r stede	ter  stede	ter steden	der stede
ter wille	te r wille	ter  wille	ter willen	der wille
ter zake	te r zake	ter  zake	ter zaken	der zake
ter ziele	te r ziele	ter  ziele	ter zielen	der ziele
terra incognita	ter ra incognita
terra nigra	ter ra nigra
terra sigillata	ter ra sigillata
terug kunnen	te rug kunnen
terug moeten	te rug moeten
terug willen	terug wille	te rug willen
terug zijn	te rug zijn	terug zijn
terzelfder tijd	terzelfder tijd
terzijde staan	ter zijde staan	terzijde staan
thuis voelen	
toezicht houden	toezichthoudend
tongue in cheek	tontgue in cheek	thongue in cheek	tonguen in cheek	tongoee in cheek	tonguij in cheek	tonchue in cheek	dongue in cheek	tongije in cheek	tonguai in cheek	tonggeue in cheek	teaungue in cheek
top acht	dop acht
top drie	dop drie
top honderd	dop honderd
top secret	dop secret
top tien	dop tien	top dien	top tin
top twaalf	dop twaalf
top twintig	dop twintig
top veertig	dop veertig
top vier	dop vier
top vijf	top vijf	dop vijf
top vijftien	top vijftien	dop vijftien
top zes	dop zes
tot bloedens toe	thot bloedens toe	toth bloedens toe	tot bloedens toen	dot bloedens toe	tod bloedens toe	tot bloedens doe	tot bloedens tout	teaut bloedens toe
tot dusver	dot dusver	tod dusver
tot dusverre	dot dusverre	tod dusverre
tot stand komen	thot stand komen	toth stand komen	tot stand komijn	dot stand komen	tod stand komen	teaut stand komen
tot stikkens toe	thot stikkens toe	toth stikkens toe	tot stikkens toen	dot stikkens toe	tod stikkens toe	tot stikkens doe	tot stikkens tout	teaut stikkens toe
tot vervelens toe	thot vervelens toe	toth vervelens toe	tot vervelens toen	dot vervelens toe	tod vervelens toe	tot vervelens doe	tot vervelens tout	teaut vervelens toe
total loss	
tout court	tout koert
training on the job	
tussen zitten	
twee derde	twee derden	twee  derde
twee tiende	twee tienden	twee diende
twee vijfde	twee vijfden	twee  vijfde	twee vijfde
uit eten	uit enten	uit eden	uiteten	uitmeten
uit jagen	
uit kostenoogpunt	
uit kunnen	
uit milieuoogpunt	
uit willen	uit wille
uitstaans hebben met	uithstaans hebben met	uitsthaans hebben met	uitsta-ans hebben met	u-itstaans hebben met	uitsstaans hebben met	uitstaanss hebben met	uitstaans hebben ment	oeitstaans hebben met	uitstaans hebben mijt	uidstaans hebben met	uitsdaans hebben met	ijitstaans hebben met	uitschtaans hebben met	uitstaansch hebben met	eutstaans hebben met
upper class	
upper ten	upper te	upper den
ups en downs	ups e downs	upss en downs	oeps en downs	ijps en downs	upsch en downs
urbi et orbi	urbi ent orbi	oerbi et orbi	ijrbi et orbi
vals spelen	vals spellen	vals spijlen	vals spellingen
valsheid in geschrifte	valsheids in geschrifte	valshe-id in geschrifte	valssheid in geschrifte	valshenid in geschrifte	valsheid in geschriften	vallsheid in geschrifte	valsheidd in geschrifte	valshijid in geschrifte	valschheid in geschrifte	valshijd in geschrifte	valshaiid in geschrifte	valshijdt in geschrifte	valshied in geschrifte
van ambtswege	^van  ambtswege
van binnenuit	^van  binnenuit
van bondswege	^van  bondswege
van buiten uit	^van  buiten uit	van buiden uit
van dattum	^van  dattum
van dien	van die	^van  dien
van gemeentezijde	van gemeentezijden	^van  gemeentezijde	van gemeentezijde
van goeden huize	van goede huize	van goeden huizen	^van  goeden huize	van goten huize
van goeden wille	van goede wille	van goeden willen	^van  goeden wille	van goten wille
van heinde en verre	van heinde e verre	van he-inde en verre	van heninde en verre	van heinden en verre	van heindde en verre	^van  heinde en verre	van hijinde en verre	van heindij en verre	van hijnde en verre	van haiinde en verre	van heindai en verre	van heindede en verre	van hiende en verre
van iets af moeten	van ieths af moeten	van i-ets af moeten	van ietss af moeten	van ients af moeten	^van  iets af moeten	van iijts af moeten	van ieds af moeten	van ietsch af moeten	van yts af moeten	van y'ts af moeten	van iaits af moeten	van its af moeten
van jongs af	^van  jongs af
van koninklijken bloede	van koninklijke bloede	van koninklijken bloeden	van koninklijken bloedde	^van  koninklijken bloede	van koninklijken bloede	van koninklijken blote
van krommenaas gebaren	^van  krommenaas gebaren
van likmevestje	^van  likmevestje
van moslimzijde	van moslimzijden	^van  moslimzijde	van moslimzijde
van nature	van naturen	^van  nature
van onzentwege	^van  onzentwege
van oudsher	^van  oudsher
van overheidswege	^van  overheidswege
van overheidszijde	van overheidszijden	^van  overheidszijde	van overheidszijde
van stadswege	^van  stadswege
van stavast	^van  stavast
van tevoren	^van  tevoren
van zins zijn	^van  zins zijn	van zins zijn
ver verwijderd	ver verwijderd	vair verwijderd
via via	
vice versa	
video on demand	videno on demand	viddeo on demand	vidijo on demand	vidaio on demand	videdeo on demand	videeau on demand
vier tiende	vier tienden	vier diende
vier vijfde	vier vijfden	vier  vijfde	vier vijfde
viola da gamba	violla da gamba	vieaula da gamba
virtual reality	
vitamine B12	vitaminen B12
vlot trekken	
vol raken	vol rake	vol racen
vol zetten	vol zette
vol zitten	
volgens Bartjens	volgens Bartjes
voor de hand liggend	voir de hand liggend	vo-or de hand liggend	voor den hand liggend	voor dde hand liggend	voor dij hand liggend	voort de hand liggend	veaur de hand liggend	voor dai hand liggend	voor dede hand liggend	veauor de hand liggend	voeaur de hand liggend
voor pampus liggen	voir pampus liggen	vo-or pampus liggen	voort pampus liggen	veaur pampus liggen	veauor pampus liggen	voeaur pampus liggen
voor zover	voort zover	voor  zover
voors en tegens	voors e tegens	voirs en tegens	vo-ors en tegens	voorss en tegens	vooren en tegens	voors en degens	voorsch en tegens	voorts en tegens	veaurs en tegens	veauors en tegens	voeaurs en tegens
vrolijke frans	
vrouw des huizes	vro-uw des huizes	vrooew des huizes	vroijw des huizes	vreauuw des huizes
vuur spuwen	
white spirit	
wijd en zijd	wijd e zijd	wi-jd en zijd	wijdd en zijd	wijd en zijd	weid en zijd
wijd open	wijd open	weid open
wijn maken	wijn make	wijn maken
willens en wetens	willes en wetens	willens e wetens	willenss en wetens	willenns en wetens	willlens en wetens	willijns en wetens	willensch en wetens	willains en wetens	willlenns en wetens
winst nemen	winst neme
wishful thinking	
witte wieven	witten wieven
world wide web	worlld wide web	worldd wide web	weaurld wide web
zegge en schrijve	zegge en schrijven
zero tolerance	
ziek melden	ziek melde	ziek meldden	ziek mailden
ziekte van Ménière	zieccte Van ménière	ziequte Van ménière	ziexe Van ménière	zy'kte Van ménière	zykte Van ménière	ssiekte Van ménière	ziekde Van ménière	ziektij Van ménière	ziijkte Van ménière	ziekten Van ménière	zienkte Van ménière	ziektte Van ménière	zi-ekte Van ménière	ziekthe Van ménière
ziekte van Weil	ziekthe van Weil	zi-ekte van Weil	ziektte van Weil	zienkte van Weil	ziekten van Weil	ziijkte van Weil	ziektij van Weil	ziekde van Weil	ssiekte van Weil	zykte van Weil	zy'kte van Weil	ziexe van Weil	ziequte van Weil	zieccte van Weil
zij aan zij	zi-j aan zij	zij aan zij	ssij aan zij	zei aan zij	zij aan zei
zijn pappenheimers kennen	zijn pappenheimers kenen	zi-jn pappenheimers kennen	zijn pappenheimers kennen	ssijn pappenheimers kennen	zein pappenheimers kennen
zijns inziens	zijns inziens
zinnens zijn	zinnens zijn
zitting hebbend	
zo langzamerhand	langzamerhand
zo nodig	
zoet water	zoent water
zorg dragen	zorgdragend
zwart geld	
à charge	à chargen
à contrecoeur	contrecoeur
à gogo	
à la carte	
à la minute	à la minuten
à propos	
éminence grise	
